"","age","gender","par_edu","hisei","mig_bac","paa_gpa","big_ext","big_agr","big_con","big_neu","big_ope","fem_inm","fem_exm"
"3578",32.3300018310547,"1","1",NA,"0",2.9,2.5,4,3.5,3,4,3.11111111111111,1.58333333333333
"3579",29.4200000762939,"0","1",NA,"1",1.2,4.5,4,4.5,3.5,3.5,NA,NA
"3580",26.1700000762939,"0","2",82.4100036621094,"0",3.5,NA,NA,NA,NA,NA,NA,NA
"3581",26.1700000762939,"1","1",26.8500003814697,"0",2.3,4,3.66666666666667,4.5,3,3.5,NA,NA
"3582",27.6700000762939,"0","1",50.7299995422363,"0",2.9,5,2.66666666666667,3.5,3.5,2.5,NA,NA
"3583",34.5800018310547,"0","1",NA,"0",2.4,5,3,4,2,5,3.55555555555556,2.5
"3584",27.6700000762939,"0","1",28.4799995422363,"0",2.5,2,3.66666666666667,5,4.5,4.5,NA,NA
"3585",44,"0","1",NA,"1",2.3,4.5,3.66666666666667,3.5,3.5,5,NA,NA
"3586",30.5799999237061,"0","1",NA,"0",2.8,4.5,3.66666666666667,4,2.5,4,NA,NA
"3587",30.3299999237061,"0","2",68.879997253418,"0",1.9,4.5,4,3.5,2.5,4.5,2.77777777777778,2.5
"3588",25.3299999237061,"0","3",82.4100036621094,"0",2.2,3.5,3.66666666666667,4,3,4.5,NA,NA
"3589",34.8300018310547,"0",NA,NA,NA,2.6,5,4.33333333333333,5,1,4,NA,NA
"3590",21.0799999237061,"1","3",NA,"0",2,NA,NA,NA,NA,NA,NA,NA
"3591",21.5799999237061,"0","2",88.6999969482422,"0",1.2,NA,NA,NA,NA,NA,NA,NA
"3592",33.1699981689453,"0","1",NA,"0",2.5,4,3.66666666666667,3.5,3,4.5,NA,NA
"3593",30.6700000762939,"0","1",56,"0",2.5,3.5,3.66666666666667,3.5,3,4,3.33333333333333,2
"3594",29.5799999237061,"1","1",56,"0",3,4,3.66666666666667,3.5,2,4,NA,NA
"3595",31,"0","2",59.8899993896484,"0",2,5,3.66666666666667,3.5,3,2,NA,NA
"3596",32,"1","3",82.4100036621094,"0",2.4,4.5,3.33333333333333,2.5,1.5,3,NA,NA
"3597",32.4199981689453,"1","2",54.5400009155273,"0",2.4,2.5,3.33333333333333,2,3,4,NA,NA
"3598",31.25,"0","3",80.7799987792969,"0",2.5,NA,NA,NA,NA,NA,NA,NA
"3599",32.6699981689453,"1","1",30.7800006866455,"0",2.3,3,3.33333333333333,3.5,3,4,NA,NA
"3600",25.5799999237061,"0","2",NA,"0",1.9,3,3.66666666666667,4,3.5,4.5,3.33333333333333,2.75
"3601",28.9200000762939,"0","2",77.0999984741211,"0",1.9,4.5,3.66666666666667,4,3.5,4,3.55555555555556,2.91666666666667
"3602",32.5800018310547,"0","2",82.4100036621094,"1",1.7,4.5,4.33333333333333,3,2.5,4,2.88888888888889,1.75
"3603",31.5799999237061,"1","1",NA,"0",1.7,4.5,4,5,1.5,5,3.55555555555556,2.16666666666667
"3604",24.8299999237061,"0","1",NA,"1",3.2,NA,NA,NA,NA,NA,NA,NA
"3605",36.3300018310547,"1","1",25.2299995422363,"0",1.8,3,2.66666666666667,4,2.5,4.5,NA,NA
"3606",21.75,"0","2",88.6999969482422,"0",1.8,4,2.66666666666667,4.5,1.5,5,3.22222222222222,1.5
